District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Male_Workers,Female_Workers,Frontline_Workers,Industrial_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated
508,MAHARASHTRA,Gadchiroli,1072942,541328,531614,708365,395110,313255,323338,260899,392886,191351,488705,225358,247813,11321,99745,31014,145459,1663,11064,293586,37254,108850,145767,139482,140345,95911,35809,4154,605217,289448,175518,2759
509,MAHARASHTRA,Chandrapur,2204307,1123834,1080473,1578615,872565,706050,648565,409607,804433,253739,1146135,220978,473983,21346,341865,172661,418666,8239,31419,451324,233331,243773,316192,337320,351610,241179,126488,15040,1163802,629890,403719,6896
510,MAHARASHTRA,Yavatmal,2772348,1419965,1352383,2022574,1115980,906594,815475,540524,1195100,160899,1416349,333504,739718,17899,264878,134500,446516,6094,29917,629243,168889,391944,562739,382001,389924,245819,123074,21889,1549263,733258,483813,6014
511,MAHARASHTRA,Nanded,3361292,1730075,1631217,2189425,1255222,934203,925232,568721,1317791,176162,1867339,447823,632395,29158,384577,116284,488748,7548,43055,591119,230563,416869,691348,368723,416761,255650,156225,21729,2008314,809135,535827,8016
512,MAHARASHTRA,Hingoli,1177345,606294,571051,790743,450551,340192,330903,238279,514371,54811,608163,241613,226483,8268,92818,27700,159114,1221,9676,242456,41913,175736,266649,127246,136075,74544,38698,5932,692117,281905,201828,1495
513,MAHARASHTRA,Parbhani,1836086,942870,893216,1157814,666291,491523,501422,321375,756417,66380,1013289,295030,317806,13210,196751,59272,272486,3982,21196,293480,133759,229217,396713,204316,229103,116041,81333,9703,1078349,436486,313455,7796
514,MAHARASHTRA,Jalna,1959046,1011473,947573,1195523,699428,496095,545030,385856,844492,86394,1028160,418952,300937,16705,194292,60219,288895,3791,17236,404746,98084,271061,422207,218189,225331,120715,64060,9724,1150104,454836,341479,12627
515,MAHARASHTRA,Aurangabad,3701282,1924469,1776813,2503837,1430936,1072901,1015864,559215,1446636,128443,2126203,554518,396630,28033,595898,246324,589477,23258,69937,551789,427343,381695,686271,422964,537936,310762,253253,19101,2211996,909771,571932,7583
516,MAHARASHTRA,Nashik,6107187,3157186,2950001,4345366,2397538,1947828,1746286,1017042,2523023,240305,3343859,967385,730228,56132,1009583,536781,904710,45039,138887,904661,764271,544346,1038955,851714,830070,485052,373100,97219,3580633,1567252,948469,10833
517,MAHARASHTRA,Thane,11060148,5865078,5195070,8227161,4591396,3635765,3363123,1129644,3930511,562256,6567381,349931,418004,124461,3600371,1610460,2231800,256170,551643,713994,2904157,712171,1530916,1588196,1751284,1080597,961719,114453,6184519,3241888,1579921,53820
518,MAHARASHTRA,Mumbai Suburban,9356962,5031323,4325639,7575485,4223029,3352456,2944322,790699,3515922,219099,5621941,16086,20722,118816,3579397,1586946,1964657,404757,652946,0,3078829,512268,1140066,1628031,1914168,1091433,1183117,189063,4936360,2812001,1575566,33035
519,MAHARASHTRA,Mumbai,3085411,1684608,1400803,2509022,1410680,1098342,1021009,263387,1209334,75062,1801015,6051,5745,45538,1227062,494883,625927,121344,204234,0,1107321,118967,399792,603937,665263,378764,343374,57044,1553005,933586,583243,15577
520,MAHARASHTRA,Raigarh,2634200,1344345,1289855,1939994,1059692,880302,753843,319126,858825,214144,1561231,206975,191182,32919,641893,328277,547206,38570,96301,581868,377160,231263,407662,335886,441072,221410,204507,19940,1414154,748339,462741,8966
521,MAHARASHTRA,Pune,9429408,4924105,4505303,7171723,3940210,3231513,2809816,1239177,3751221,297772,5380415,886530,414461,105711,2642291,1410448,1925019,235018,490260,1165718,2056739,559840,1234549,1383055,1414563,867256,1086650,190336,5184734,2624165,1586132,34377
522,MAHARASHTRA,Ahmadnagar,4543159,2342825,2200334,3151890,1773355,1378535,1300309,904281,2039455,165135,2338569,1013050,559009,57156,575375,300116,677592,18370,68902,1041393,282011,483996,833691,580959,745895,411908,315842,32304,2496560,1166245,865139,15215
523,MAHARASHTRA,Bid,2585049,1349106,1235943,1718507,987185,731322,727819,527729,1154708,100840,1329501,606280,373566,21093,254609,82098,402052,5614,29198,563114,135457,309704,436446,280800,316758,206530,129996,11438,1473882,614615,494436,2116
524,MAHARASHTRA,Latur,2454196,1273140,1181056,1650672,932432,718240,670018,376839,964177,82680,1407339,331780,416578,17663,280836,96018,381722,6217,29758,428616,157016,268627,423711,296910,380344,224998,153256,18106,1406364,584243,453229,10360
525,MAHARASHTRA,Osmanabad,1657576,861535,796041,1137810,644304,493506,473795,300121,701894,72022,883660,297361,299525,19831,157199,49180,240042,3209,18183,367158,77832,183972,300965,201646,260772,139479,96847,9913,917343,393539,343021,3673
526,MAHARASHTRA,Solapur,4317756,2227852,2089904,2910676,1651266,1259410,1206933,691462,1763175,135220,2419361,637250,558334,71106,631705,248255,595560,15145,59296,779929,376302,390337,788150,535848,643327,328020,236302,29051,2402794,1089900,809935,15127
527,MAHARASHTRA,Satara,3003741,1510842,1492899,2225694,1201034,1024660,844805,510142,1184407,170540,1648794,585876,297241,39772,432058,271186,562653,14093,57423,774522,200949,288427,495822,407977,556706,299993,243457,20884,1517324,800492,671702,14223
528,MAHARASHTRA,Ratnagiri,1615069,761121,853948,1199392,619012,580380,407008,307068,554973,159103,900993,296913,153117,17230,246816,100860,367352,7752,31062,538538,100824,163025,378554,269872,247257,111600,65700,15429,777431,438905,396967,1766
529,MAHARASHTRA,Sindhudurg,849651,417332,432319,666067,348289,317778,229676,117502,226538,120640,502473,124812,81816,9679,130871,42540,194228,3517,15721,295847,44989,86480,165284,134734,175070,89023,48418,3451,382024,242296,222963,2368
530,MAHARASHTRA,Kolhapur,3876001,1980658,1895343,2825845,1559760,1266085,1125204,578850,1508563,195491,2171947,660872,266028,59932,717222,340318,770005,22269,71879,796496,382818,321457,622362,487227,698604,395234,335413,40828,1972486,1084858,801590,17067
531,MAHARASHTRA,Sangli,2822143,1435728,1386415,2049467,1121550,927917,800214,414890,1074948,140156,1607039,480554,290693,40824,403033,227034,485126,13212,49056,626872,226801,208511,507318,459156,453404,244804,214003,36983,1450907,752303,603739,15194
532,ANDHRA PRADESH,Adilabad,2741239,1369597,1371642,1483347,856350,626997,748939,574728,1066460,257207,1417572,363737,484912,84661,390357,194954,566108,5512,45202,597466,220248,232470,344167,281752,225957,143143,100226,19277,1536378,704551,422522,77788
533,ANDHRA PRADESH,Nizamabad,2551335,1250641,1300694,1389810,790214,599596,684320,576756,1055965,205111,1290259,278102,448281,171311,363382,186740,545913,5261,35036,565165,155133,269487,421399,338668,396396,223365,141850,13382,1399773,676401,437573,37588
534,ANDHRA PRADESH,Karimnagar,3776269,1880800,1895469,2206829,1257238,949591,1049463,827305,1590304,286464,1899501,360390,756859,168340,591179,344667,926768,8831,46584,877236,288044,340372,453505,482842,463403,293493,256633,35312,1940234,1031735,728494,75806
535,ANDHRA PRADESH,Medak,3033288,1523030,1510258,1637137,953406,683731,837874,604329,1195494,246709,1591085,353221,571129,67642,450211,163074,604719,8635,47170,593653,195479,324267,503713,481984,373729,201928,127493,16466,1735769,779738,509368,8413
536,ANDHRA PRADESH,Hyderabad,3943323,2018575,1924748,2892155,1542688,1349467,1045585,367712,1096081,317216,2530026,28308,23029,46157,1315803,581509,869721,149034,274653,0,1066289,230962,596591,685215,811501,517425,558090,45937,2249130,1068243,542669,83281
537,ANDHRA PRADESH,Rangareddy,5296741,2701008,2595733,3538028,1948784,1589244,1488916,707162,1834777,361301,3100663,270925,349032,73387,1502734,773246,1211352,142879,291745,432098,1129224,457916,756588,809283,821821,598940,740896,57436,2966988,1455864,738037,135852
538,ANDHRA PRADESH,Mahbubnagar,4053028,2050386,2002642,1940646,1158386,782260,1140067,942434,1815643,266858,1970527,569142,931084,57846,524429,136843,757821,6153,60812,848963,161052,419379,596134,441585,308575,169083,98227,16121,2360874,1027525,637430,27199
539,ANDHRA PRADESH,Nalgonda,3488809,1759772,1729037,2001019,1160757,840262,976428,765265,1493419,248274,1747116,325224,863131,45124,508214,228818,789225,7715,53777,833504,197433,369537,518669,471233,367424,238695,196134,27003,1932349,897137,651748,7575
540,ANDHRA PRADESH,Warangal,3512576,1759281,1753295,2065023,1179790,885233,960926,744729,1442197,263458,1806921,401646,758092,43550,502367,237349,828077,12952,59006,758738,288249,314252,457529,454322,430242,279234,248942,27663,1891954,941452,664872,14298
541,ANDHRA PRADESH,Khammam,2797370,1390988,1406382,1630234,901640,728594,802906,607156,1215871,194191,1387308,224972,804537,19799,360754,219710,668519,8628,42171,669262,201363,295639,346118,329630,238811,154774,160804,25456,1530602,774583,477955,14230
542,ANDHRA PRADESH,Srikakulam,2703114,1341738,1361376,1495381,857824,637557,766483,523805,936244,354044,1412826,165317,700833,34479,389659,149554,615432,3988,32280,752752,149684,291793,348354,319244,251521,146721,121213,21031,1423119,747385,528736,3874
543,ANDHRA PRADESH,Vizianagaram,2344474,1161477,1182997,1238388,707503,530885,679289,478673,953215,204747,1186512,212285,557254,27469,360954,140361,527736,4453,24128,592458,157056,250446,300057,257468,186576,115144,103591,27041,1206366,666394,451469,20245
544,ANDHRA PRADESH,Visakhapatnam,4290589,2138910,2151679,2568249,1422878,1145371,1239064,650815,1481139,408740,2400710,322164,578949,54545,934221,495389,1010250,45492,124729,718847,660493,414636,568178,649271,541942,329770,289734,44164,2274553,1245627,716066,54343
545,ANDHRA PRADESH,East Godavari,5154296,2569688,2584608,3288577,1716933,1571644,1545831,547850,1748117,345564,3060615,160407,1122046,57853,753375,479914,1297273,22411,93784,1199479,406362,669420,947606,797497,521562,271809,263023,47702,2724328,1478954,948122,2892
546,ANDHRA PRADESH,West Godavari,3936966,1964918,1972048,2652389,1379223,1273166,1199338,573774,1534166,238946,2163854,155275,1061787,33861,522189,435334,1017568,12050,55613,1007255,248373,595331,718960,585595,415178,215863,207586,33329,2051513,1127764,755533,2156
547,ANDHRA PRADESH,Krishna,4517398,2267375,2250023,3009718,1598959,1410759,1327299,721581,1744978,303902,2468518,150166,1006976,48444,843294,632890,1163932,30438,101450,909292,567042,618101,692968,630603,531821,312753,328454,54728,2340943,1284630,833959,57866
548,ANDHRA PRADESH,Guntur,4887813,2440521,2447292,2960441,1634726,1325715,1442370,939254,2106326,275298,2506189,302341,1227956,47436,803891,648568,1186028,19383,80434,1069877,513113,736270,845810,674957,453446,246580,221924,30279,2583462,1371811,928462,4078
549,ANDHRA PRADESH,Prakasam,3397448,1714764,1682684,1904435,1107686,796749,991842,708725,1463508,237059,1696881,280029,889218,42603,488717,290947,763746,6151,43611,873486,214089,489805,495556,368919,249034,142026,133627,21976,1832695,917391,641707,5655
550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,2963557,1492974,1470583,1832189,1011922,820267,859880,454681,1076544,238017,1648996,165513,625262,35403,488383,233623,696024,10201,39583,689137,264376,437438,451130,370710,267243,161031,148394,27865,1574713,840448,544022,4374
551,ANDHRA PRADESH,Y.S.R.,2882469,1451777,1430692,1716766,994699,722067,823886,496518,1079903,240501,1562065,243607,542455,55824,478518,209532,671764,6667,39923,590589,293504,408650,509166,413364,258798,140145,116330,16231,1553667,793583,530412,4807
552,ANDHRA PRADESH,Kurnool,4053463,2039227,2014236,2127161,1246369,880792,1164122,865303,1757520,271905,2024038,310954,1037302,60791,620378,195001,816721,10081,56478,783853,306982,521327,672951,466940,271828,152453,115504,19282,2368684,1053618,609027,22134
553,ANDHRA PRADESH,Anantapur,4081148,2064495,2016653,2310960,1338474,972486,1208544,827622,1679655,356511,2044982,413253,879537,105343,638033,223016,897970,8606,48299,902997,341431,462273,720357,582075,331793,162175,144915,23341,2189396,1104565,739612,47575
554,ANDHRA PRADESH,Chittoor,4174064,2090204,2083860,2667878,1484794,1183084,1202223,731134,1669852,263505,2240707,434544,748093,57269,693451,324406,944555,13763,67087,907970,395900,522961,770836,673197,548336,265199,246409,36017,2148179,1159053,807430,59402
555,KARNATAKA,Belgaum,4779661,2423063,2356598,3052032,1725548,1326484,1372422,733246,1734501,371167,2673993,711980,649517,60342,683829,240742,808827,17560,73497,962777,356198,544564,1057297,609600,532584,279583,201884,56621,2669348,1251116,857143,2054
556,KARNATAKA,Bagalkot,1889752,950111,939641,1113412,641388,472024,511575,306506,676407,141674,1071671,196199,303243,44797,273842,49345,301389,3745,26297,324799,165858,242336,385986,147397,171505,115095,82319,25791,1123443,465706,299774,829
557,KARNATAKA,Bijapur,2177331,1111022,1066309,1248268,730566,517702,580111,347611,760083,167639,1249609,262217,351600,25379,288526,58890,326594,4987,36571,396449,131041,246391,430477,143199,182756,129109,96990,24569,1295274,527085,353549,1423
558,KARNATAKA,Bidar,1703300,870665,832635,1042673,597198,445475,459050,243558,551763,150845,1000692,141302,280091,18095,263120,34924,271439,3971,36072,287134,102269,188998,474921,194233,181076,105347,54900,12885,1018195,397120,287271,714
559,KARNATAKA,Raichur,1928812,964511,964301,979769,577213,402556,530373,373040,725985,177428,1025399,245299,383526,19095,255493,51443,314547,5200,33903,330446,125402,147743,385673,163709,153346,82082,50463,14622,1196670,465173,265810,1159
560,KARNATAKA,Koppal,1389920,699926,689994,809085,468785,340300,387974,266792,508089,146677,735154,163413,273016,18794,199543,31673,223166,2135,15263,272968,64681,222140,357098,127605,113028,72243,43967,10431,855430,330393,202984,1113
561,KARNATAKA,Gadag,1064570,537147,527423,700177,397178,302999,310412,185310,423451,72271,568848,127441,200310,15485,152486,31959,198064,3373,15625,180066,111906,121615,244640,112703,105150,63816,42053,12822,601578,279069,183409,514
562,KARNATAKA,Dharwad,1847023,937206,909817,1301664,711776,589888,543776,241057,690948,93885,1062190,164279,207642,16463,396449,140584,347962,15013,49585,199707,283397,252596,383041,185530,227113,143453,137768,34302,1017935,505688,322577,823
563,KARNATAKA,Uttara Kannada,1437169,726256,710913,1081906,582099,499807,430565,177961,498304,110222,828643,111581,116336,9492,371117,88187,290791,6129,21501,334281,140511,198632,338390,183534,210270,108521,94767,22876,742281,412649,281542,697
564,KARNATAKA,Haveri,1597668,819128,778540,1085443,603793,481650,490731,239335,601951,128115,867602,203055,311263,20217,195531,41517,295937,2456,17819,315076,98488,240925,430529,201965,158442,84357,55310,16830,904453,426094,266586,535
565,KARNATAKA,Bellary,2452595,1236954,1215641,1421621,813440,608181,703258,413622,969388,147492,1335715,258080,406092,22832,429876,114040,440374,9626,40190,371604,251876,275785,529576,219702,203139,121453,89475,29367,1487013,617276,346905,1401
566,KARNATAKA,Chitradurga,1659456,840843,818613,1087392,607188,480204,513311,343276,667479,189108,802869,286245,294337,26235,249770,60522,307257,5711,28897,349704,97644,188329,332648,196470,217567,132435,75262,22078,891230,460057,306412,1757
567,KARNATAKA,Davanagere,1945497,986400,959097,1308540,720637,587903,585639,289568,705099,170108,1070290,230846,295873,31438,317050,100812,372671,7320,39416,354680,176011,242130,446793,206686,269748,154781,123863,32375,1068518,538551,336173,2255
568,KARNATAKA,Shimoga,1752753,877415,875338,1263016,674938,588078,534487,246111,652789,127809,972155,204493,246464,15087,314554,128087,363835,8791,35207,352444,201662,191641,385978,292481,251095,132138,111753,18036,913150,513297,325542,764
569,KARNATAKA,Udupi,1177361,562131,615230,926429,465704,460725,335399,177842,459446,53795,664120,63143,63390,10580,376128,83810,224814,9070,24817,269817,115572,142493,286193,176260,178094,109663,107279,18444,559565,340903,276234,659
570,KARNATAKA,Chikmagalur,1137961,566622,571339,818345,438257,380088,357889,207885,480229,85545,572187,155392,126600,8873,274909,74534,238505,4510,18727,311660,80766,114570,257550,160083,177585,96470,72420,12631,564994,341380,230864,723
571,KARNATAKA,Tumkur,2678980,1350594,1328386,1813391,1006024,807367,837512,517134,1078431,276215,1324334,505910,352286,54523,441927,116539,562769,7971,41751,685443,204799,270373,500593,386998,423738,213588,143735,30687,1351461,760936,564196,2387
572,KARNATAKA,Bangalore,9621551,5022661,4598890,7512276,4078041,3434235,3115361,1131566,3858342,388585,5374624,95619,97914,108898,3944496,1788912,2330631,430880,790103,300576,2967384,599794,1509693,1629870,2018079,1196965,1733274,198399,5275666,2909575,1424195,12115
573,KARNATAKA,Mandya,1805769,905085,900684,1149649,638668,510981,575203,296205,714901,156507,934361,388981,216159,17834,248434,80452,391033,3367,20265,458867,103435,145178,309476,226552,308624,157839,102838,19987,902307,527236,375100,1126
574,KARNATAKA,Hassan,1776421,883667,892754,1225256,668836,556420,560452,343128,752387,151193,872841,437034,165910,16126,284510,90599,400702,4851,23444,496103,132878,182255,354480,232531,292369,147837,103152,27774,877340,522039,375918,1124
